We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:19947.564453125, rec loss:19914.85546875, kl loss:32.708919525146484
   Iter[200] loss:17411.853515625, rec loss:16426.3046875, kl loss:985.549560546875
   Iter[300] loss:13739.2412109375, rec loss:11814.52734375, kl loss:1924.713623046875
   Iter[400] loss:11909.0283203125, rec loss:10207.58203125, kl loss:1701.4464111328125
   Iter[500] loss:10204.669921875, rec loss:8729.9580078125, kl loss:1474.71142578125
   Iter[600] loss:10949.48046875, rec loss:9883.154296875, kl loss:1066.3260498046875
   Iter[700] loss:10113.5205078125, rec loss:9122.4052734375, kl loss:991.1156005859375
   Iter[800] loss:9809.6513671875, rec loss:8933.359375, kl loss:876.2918701171875
   Iter[900] loss:9232.3564453125, rec loss:8379.6171875, kl loss:852.7393798828125
   Iter[1000] loss:9435.4384765625, rec loss:8752.85546875, kl loss:682.5830078125
   Iter[1100] loss:9517.337890625, rec loss:8947.5625, kl loss:569.7755126953125
   Iter[1200] loss:8569.6015625, rec loss:7901.1142578125, kl loss:668.4873657226562
   Iter[1300] loss:9726.44921875, rec loss:9235.162109375, kl loss:491.2868957519531
   Iter[1400] loss:8757.2041015625, rec loss:8149.4990234375, kl loss:607.7054443359375
   Iter[1500] loss:8706.22265625, rec loss:8142.6845703125, kl loss:563.537841796875
>> Epoch[1]: loss: 11613.462682617188
   Iter[100] loss:8936.2373046875, rec loss:8484.5947265625, kl loss:451.6425476074219
   Iter[200] loss:8572.287109375, rec loss:8082.68359375, kl loss:489.603515625
   Iter[300] loss:8818.5078125, rec loss:8435.1064453125, kl loss:383.40087890625
   Iter[400] loss:8548.9755859375, rec loss:8096.6181640625, kl loss:452.35784912109375
   Iter[500] loss:8555.48828125, rec loss:8124.79833984375, kl loss:430.6900634765625
   Iter[600] loss:8852.6953125, rec loss:8460.46484375, kl loss:392.23089599609375
   Iter[700] loss:8285.65234375, rec loss:7868.82421875, kl loss:416.828125
   Iter[800] loss:8372.3037109375, rec loss:7990.24365234375, kl loss:382.05987548828125
   Iter[900] loss:8764.2412109375, rec loss:8404.470703125, kl loss:359.7700500488281
   Iter[1000] loss:9129.828125, rec loss:8847.8701171875, kl loss:281.958251953125
   Iter[1100] loss:8919.0654296875, rec loss:8632.9853515625, kl loss:286.07977294921875
   Iter[1200] loss:8221.27734375, rec loss:7882.21044921875, kl loss:339.06658935546875
   Iter[1300] loss:8410.1337890625, rec loss:8104.244140625, kl loss:305.8896484375
   Iter[1400] loss:8422.1318359375, rec loss:8112.173828125, kl loss:309.9580078125
   Iter[1500] loss:8715.9423828125, rec loss:8466.4462890625, kl loss:249.49569702148438
>> Epoch[2]: loss: 8649.8380234375
   Iter[100] loss:8506.4482421875, rec loss:8219.330078125, kl loss:287.1182556152344
   Iter[200] loss:8321.05078125, rec loss:8037.267578125, kl loss:283.783447265625
   Iter[300] loss:8204.9765625, rec loss:7907.61865234375, kl loss:297.35760498046875
   Iter[400] loss:8409.859375, rec loss:8119.15673828125, kl loss:290.7027893066406
   Iter[500] loss:8417.142578125, rec loss:8121.2421875, kl loss:295.900146484375
   Iter[600] loss:8591.6123046875, rec loss:8347.015625, kl loss:244.59674072265625
   Iter[700] loss:8606.787109375, rec loss:8328.46484375, kl loss:278.32232666015625
   Iter[800] loss:7855.8134765625, rec loss:7524.97412109375, kl loss:330.83929443359375
   Iter[900] loss:8084.58837890625, rec loss:7775.3125, kl loss:309.2757568359375
   Iter[1000] loss:7697.39794921875, rec loss:7354.115234375, kl loss:343.2826843261719
   Iter[1100] loss:8106.94873046875, rec loss:7844.5078125, kl loss:262.4410400390625
   Iter[1200] loss:8456.146484375, rec loss:8130.54638671875, kl loss:325.6004638671875
   Iter[1300] loss:8573.1171875, rec loss:8283.6484375, kl loss:289.4690246582031
