Vocabulary Size:  27710
Total number of model parameters: 20.60M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.75 | loss  8.02 | ppl  3026.14
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.23 | loss  6.28 | ppl   535.48
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.24 | loss  5.93 | ppl   377.11
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.70 | ppl   299.71
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.57 | ppl   261.96
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.24 | loss  5.57 | ppl   261.24
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.25 | loss  5.54 | ppl   253.76
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  5.51 | ppl   248.13
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.31 | loss  5.48 | ppl   240.70
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.25 | loss  5.46 | ppl   235.41
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.22 | loss  5.41 | ppl   224.74
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.42 | ppl   225.86
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.22 | loss  5.37 | ppl   214.19
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.37 | ppl   215.90
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.33 | ppl   206.16
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.24 | loss  5.40 | ppl   220.95
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.32 | ppl   205.03
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.22 | loss  5.27 | ppl   195.06
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.28 | ppl   196.10
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.27 | ppl   195.10
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.33 | ppl   207.02
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.26 | loss  5.32 | ppl   204.51
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.28 | ppl   197.18
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.28 | ppl   195.62
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.24 | loss  5.23 | ppl   186.89
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.25 | ppl   191.41
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.28 | ppl   196.04
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.22 | loss  5.43 | ppl   228.55
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  7.28 | ppl  1447.86
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.19 | loss  7.18 | ppl  1313.28
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.21 | loss  7.21 | ppl  1350.76
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 84.32s | valid loss  6.38 | valid ppl   588.27
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.28 | loss  6.37 | ppl   582.36
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.22 | loss  6.29 | ppl   539.84
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.19 | loss  6.35 | ppl   575.00
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.20 | loss  6.20 | ppl   494.93
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.32 | loss  6.06 | ppl   428.22
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.30 | loss  6.15 | ppl   467.30
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.30 | loss  6.11 | ppl   451.30
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.28 | loss  6.12 | ppl   455.17
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  6.09 | ppl   441.12
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.22 | loss  6.09 | ppl   440.45
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.22 | loss  6.05 | ppl   424.79
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.20 | loss  6.09 | ppl   439.81
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.21 | loss  6.04 | ppl   419.65
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.20 | loss  6.06 | ppl   429.81
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.19 | loss  5.99 | ppl   398.97
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  6.07 | ppl   433.51
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.98 | ppl   397.01
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.20 | loss  5.97 | ppl   391.20
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.97 | ppl   391.13
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.18 | loss  5.95 | ppl   384.58
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.20 | loss  6.00 | ppl   403.53
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.21 | loss  5.98 | ppl   395.60
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  5.95 | ppl   382.42
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.34 | loss  5.96 | ppl   386.54
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.34 | loss  5.92 | ppl   373.11
