Vocabulary Size:  27710
Total number of model parameters: 20.26M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.97 | loss 22.11 | ppl 3989659627.78
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.55 | ppl 46111469532.07
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.08 | loss 24.74 | ppl 55538689564.75
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.09 | loss 25.07 | ppl 77233545416.87
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.12 | loss 25.01 | ppl 72853062091.72
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.08 | loss 25.28 | ppl 95633849201.58
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 25.10 | ppl 79921094486.57
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 25.13 | ppl 82246851937.07
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.95 | ppl 68184862554.88
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.02 | loss 25.54 | ppl 123614914272.92
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 25.08 | ppl 78111468823.40
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.00 | loss 24.58 | ppl 47360482353.47
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 25.14 | ppl 82729600549.46
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.02 | loss 24.74 | ppl 55262620335.60
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 25.35 | ppl 101847341498.36
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.00 | loss 25.53 | ppl 121906445663.88
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.04 | loss 24.98 | ppl 70524137718.84
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.61 | ppl 48721744104.50
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.98 | loss 25.23 | ppl 90996093906.88
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.76 | ppl 56814324632.03
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 24.56 | ppl 46240260433.02
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.99 | loss 25.00 | ppl 71844430610.15
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 24.89 | ppl 64546397463.73
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.03 | loss 24.73 | ppl 54747822503.55
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 23.73 | ppl 20244958693.92
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.00 | loss 24.81 | ppl 59437842832.83
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.00 | loss 23.99 | ppl 26146652682.49
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.11 | ppl 29672954652.45
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  7.16 | loss 25.23 | ppl 90794646999.74
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  7.27 | loss 24.91 | ppl 65796886466.38
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.23 | loss 24.70 | ppl 53145326381.30
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 113.77s | valid loss 23.14 | valid ppl 11223710863.68
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.07 | loss 23.05 | ppl 10258582139.32
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  7.02 | loss 24.44 | ppl 41101772550.42
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.93 | ppl 24782045019.01
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.99 | loss 24.31 | ppl 36275659393.72
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.06 | loss 24.37 | ppl 38292528420.49
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  7.02 | loss 20.01 | ppl 490269310.89
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  7.07 | loss 17.87 | ppl 57755726.84
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.24 | loss 19.76 | ppl 380461915.95
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 23.40 | ppl 14489737292.61
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  7.04 | loss 23.52 | ppl 16316403408.87
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  7.00 | loss 24.04 | ppl 27611479418.34
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  6.98 | loss 23.33 | ppl 13509416550.76
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  6.98 | loss 24.10 | ppl 29215824868.45
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  6.99 | loss 24.53 | ppl 44962874447.90
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  6.99 | loss 24.21 | ppl 32522642728.60
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 23.98 | ppl 25837422186.24
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  7.02 | loss 24.22 | ppl 33097595362.77
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  7.04 | loss 24.21 | ppl 32779950964.12
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  7.10 | loss 24.36 | ppl 37918101333.06
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  7.06 | loss 24.05 | ppl 27732617484.72
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 24.01 | ppl 26750173163.68
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 24.45 | ppl 41548993075.74
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  7.05 | loss 24.03 | ppl 27368324450.71
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.09 | loss 24.30 | ppl 35733196931.44
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.08 | loss 23.89 | ppl 23615426222.19
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.01 | loss 23.66 | ppl 18903166730.59
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.03 | loss 23.99 | ppl 26251812060.88
