Vocabulary Size:  27710
Total number of model parameters: 18.82M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.59 | loss  9.40 | ppl 12062.39
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.05 | loss  6.79 | ppl   889.43
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.04 | loss  6.26 | ppl   524.95
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.03 | loss  5.95 | ppl   385.42
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.11 | loss  5.78 | ppl   323.42
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.09 | loss  5.76 | ppl   317.09
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.03 | loss  5.72 | ppl   303.47
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.09 | loss  5.69 | ppl   295.43
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.17 | loss  5.66 | ppl   286.77
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.63 | ppl   277.48
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.06 | loss  5.57 | ppl   261.83
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.08 | loss  5.56 | ppl   260.82
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.10 | loss  5.51 | ppl   247.70
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.10 | loss  5.52 | ppl   249.93
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.46 | ppl   236.20
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.20 | loss  5.53 | ppl   252.69
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.07 | loss  5.45 | ppl   232.75
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.08 | loss  5.40 | ppl   221.48
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.24 | loss  5.40 | ppl   221.81
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.39 | ppl   218.36
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.42 | ppl   225.43
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.06 | loss  5.41 | ppl   222.70
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.05 | loss  5.38 | ppl   217.23
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.05 | loss  5.36 | ppl   213.58
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.09 | loss  5.32 | ppl   204.26
