Vocabulary Size:  27710
Total number of model parameters: 12.32M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  6.87 | ppl   961.46
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  6.06 | ppl   429.79
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.85 | ppl   348.13
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.63 | ppl   278.98
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.51 | ppl   246.84
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.11 | loss  5.50 | ppl   244.67
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.46 | ppl   234.16
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.43 | ppl   227.58
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.39 | ppl   219.02
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.36 | ppl   211.92
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.11 | loss  5.30 | ppl   200.60
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.30 | ppl   199.38
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.24 | ppl   188.59
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.24 | ppl   189.48
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.11 | loss  5.19 | ppl   179.91
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.26 | ppl   191.96
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.18 | ppl   177.07
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.10 | loss  5.12 | ppl   167.91
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.12 | loss  5.12 | ppl   167.99
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.10 | ppl   164.29
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.14 | ppl   171.11
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.10 | loss  5.14 | ppl   170.95
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.24 | loss  5.10 | ppl   164.32
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.09 | ppl   162.34
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.04 | ppl   154.86
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.06 | ppl   157.72
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.08 | ppl   161.08
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.07 | loss  5.09 | ppl   162.52
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.11 | loss  5.02 | ppl   150.98
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.01 | ppl   149.36
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.19 | loss  5.01 | ppl   149.93
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 82.45s | valid loss  5.17 | valid ppl   175.20
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.10 | loss  5.05 | ppl   155.58
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.14 | loss  5.05 | ppl   155.36
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.12 | loss  5.06 | ppl   157.02
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  4.97 | ppl   144.36
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.15 | loss  4.95 | ppl   141.17
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.13 | loss  4.99 | ppl   147.21
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.13 | loss  5.00 | ppl   148.24
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.11 | loss  5.00 | ppl   147.85
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  5.00 | ppl   147.92
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  5.00 | ppl   148.52
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.14 | loss  4.98 | ppl   145.64
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  4.99 | ppl   147.59
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  4.95 | ppl   141.27
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.15 | loss  4.96 | ppl   142.68
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.10 | loss  4.93 | ppl   138.44
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.17 | loss  5.00 | ppl   148.62
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  4.94 | ppl   139.83
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.09 | loss  4.90 | ppl   133.78
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.10 | loss  4.91 | ppl   135.78
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.08 | loss  4.89 | ppl   133.25
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.09 | loss  4.94 | ppl   139.53
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.24 | loss  4.95 | ppl   140.59
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  4.91 | ppl   136.04
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.22 | loss  4.91 | ppl   135.51
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.12 | loss  4.87 | ppl   130.08
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  5.17 | loss  4.89 | ppl   133.28
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  5.08 | loss  4.91 | ppl   135.94
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  5.07 | loss  4.93 | ppl   137.85
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  5.10 | loss  4.87 | ppl   130.19
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  5.11 | loss  4.86 | ppl   129.16
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  5.14 | loss  4.86 | ppl   129.30
