Vocabulary Size:  27710
Total number of model parameters: 17.46M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.24 | loss  6.81 | ppl   905.26
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  6.01 | ppl   407.33
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  5.79 | ppl   326.25
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  5.59 | ppl   269.06
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.48 | ppl   238.95
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.48 | ppl   239.37
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.33 | loss  5.44 | ppl   231.39
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.43 | ppl   227.36
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  5.39 | ppl   218.74
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.36 | ppl   212.12
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.33 | loss  5.31 | ppl   202.19
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  5.31 | ppl   202.18
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.33 | loss  5.25 | ppl   190.56
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.26 | ppl   191.56
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.21 | ppl   182.28
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.27 | ppl   194.59
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.19 | ppl   180.13
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.14 | ppl   170.65
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.14 | ppl   170.55
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.12 | ppl   167.69
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.16 | ppl   174.22
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.16 | ppl   173.56
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.33 | loss  5.12 | ppl   167.66
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.11 | ppl   165.60
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.07 | ppl   158.58
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.40 | loss  5.09 | ppl   161.72
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.11 | ppl   165.62
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.12 | ppl   168.05
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.04 | ppl   155.08
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.03 | ppl   153.68
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.43 | loss  5.04 | ppl   154.60
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 70.64s | valid loss  5.18 | valid ppl   177.94
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  5.08 | ppl   161.00
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.50 | loss  5.08 | ppl   160.59
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.49 | loss  5.09 | ppl   162.20
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  5.01 | ppl   150.22
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.98 | ppl   146.01
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.03 | ppl   152.57
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  4.40 | loss  5.04 | ppl   154.65
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.04 | ppl   153.71
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.04 | ppl   154.38
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  5.04 | ppl   154.61
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  5.02 | ppl   151.76
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  5.04 | ppl   154.12
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.99 | ppl   147.35
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.01 | ppl   149.56
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.97 | ppl   144.73
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  5.04 | ppl   155.18
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.99 | ppl   146.58
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.94 | ppl   140.29
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.96 | ppl   142.30
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  4.47 | loss  4.94 | ppl   139.84
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.99 | ppl   146.42
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.99 | ppl   146.91
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.96 | ppl   142.30
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.96 | ppl   142.46
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.92 | ppl   136.74
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.94 | ppl   139.83
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.96 | ppl   143.21
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.98 | ppl   145.77
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.92 | ppl   137.23
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.91 | ppl   135.96
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.91 | ppl   135.88
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 70.45s | valid loss  5.10 | valid ppl   163.94
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.95 | ppl   141.85
