Vocabulary Size:  27710
Total number of model parameters: 15.93M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  7.07 | ppl  1179.90
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  6.31 | ppl   547.48
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.66 | loss  6.02 | ppl   410.82
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  5.77 | ppl   319.23
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  5.62 | ppl   275.77
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.65 | loss  5.60 | ppl   269.85
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.55 | ppl   255.98
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.51 | ppl   246.82
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  5.47 | ppl   236.61
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  5.42 | ppl   226.89
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.37 | ppl   214.21
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.36 | ppl   212.85
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.30 | ppl   200.16
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.30 | ppl   200.51
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.25 | ppl   189.89
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.31 | ppl   202.61
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.23 | ppl   185.86
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.17 | ppl   175.73
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.16 | ppl   175.03
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.14 | ppl   171.44
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  5.18 | ppl   177.41
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.18 | ppl   176.92
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  5.14 | ppl   170.24
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.12 | ppl   167.36
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  5.07 | ppl   159.35
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.09 | ppl   162.54
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.11 | ppl   165.88
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.12 | ppl   167.91
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.04 | ppl   154.83
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.03 | ppl   152.65
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.04 | ppl   154.24
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 90.86s | valid loss  5.19 | valid ppl   179.60
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  5.08 | ppl   160.58
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.07 | ppl   159.82
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.09 | ppl   162.17
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.00 | ppl   148.86
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.98 | ppl   144.97
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.02 | ppl   150.80
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  5.03 | ppl   152.29
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.02 | ppl   150.78
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.02 | ppl   151.07
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  5.02 | ppl   151.59
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.00 | ppl   148.52
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  5.01 | ppl   150.28
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.97 | ppl   143.69
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.98 | ppl   145.94
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.95 | ppl   140.82
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.66 | loss  5.02 | ppl   151.16
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  4.96 | ppl   142.32
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.91 | ppl   136.09
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.92 | ppl   137.67
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.66 | loss  4.91 | ppl   135.24
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.95 | ppl   141.38
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.96 | ppl   142.84
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.92 | ppl   137.67
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.60 | loss  4.92 | ppl   136.80
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.60 | loss  4.87 | ppl   130.95
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  5.66 | loss  4.90 | ppl   134.36
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.92 | ppl   137.36
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.94 | ppl   139.36
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  4.88 | ppl   131.19
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.87 | ppl   130.21
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.87 | ppl   130.57
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 90.55s | valid loss  5.09 | valid ppl   161.73
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  4.92 | ppl   136.36
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.92 | ppl   136.46
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  4.93 | ppl   138.16
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.86 | ppl   129.01
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.85 | ppl   127.39
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  4.89 | ppl   132.56
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  4.89 | ppl   133.56
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  5.62 | loss  4.89 | ppl   132.40
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  5.64 | loss  4.89 | ppl   133.20
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  4.90 | ppl   133.73
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  4.89 | ppl   132.41
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.90 | ppl   134.62
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  5.66 | loss  4.86 | ppl   128.74
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.87 | ppl   130.58
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  5.65 | loss  4.84 | ppl   126.71
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  5.64 | loss  4.91 | ppl   135.73
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.86 | ppl   128.82
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  5.61 | loss  4.82 | ppl   123.61
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  5.75 | loss  4.83 | ppl   125.33
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  5.83 | loss  4.81 | ppl   122.78
