Vocabulary Size:  27710
Total number of model parameters: 11.17M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  3.26 | loss   nan | ppl      nan
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.22 | loss   nan | ppl      nan
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.28 | loss   nan | ppl      nan
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.22 | loss   nan | ppl      nan
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.28 | loss   nan | ppl      nan
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 36.64s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  2.28 | loss   nan | ppl      nan
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  2.22 | loss   nan | ppl      nan
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  2.22 | loss   nan | ppl      nan
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  2.28 | loss   nan | ppl      nan
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  2.27 | loss   nan | ppl      nan
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  2.29 | loss   nan | ppl      nan
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  2.29 | loss   nan | ppl      nan
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  2.29 | loss   nan | ppl      nan
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  2.28 | loss   nan | ppl      nan
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  2.24 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 36.20s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  2.25 | loss   nan | ppl      nan
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  2.23 | loss   nan | ppl      nan
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  2.26 | loss   nan | ppl      nan
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  2.24 | loss   nan | ppl      nan
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  2.22 | loss   nan | ppl      nan
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  2.25 | loss   nan | ppl      nan
