Vocabulary Size:  27710
Total number of model parameters: 23.16M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.39 | loss   nan | ppl      nan
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.38 | loss   nan | ppl      nan
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.78 | loss   nan | ppl      nan
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.83 | loss   nan | ppl      nan
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.62 | loss   nan | ppl      nan
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.78 | loss   nan | ppl      nan
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.50 | loss   nan | ppl      nan
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.68 | loss   nan | ppl      nan
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.40 | loss   nan | ppl      nan
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.58 | loss   nan | ppl      nan
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.18 | loss   nan | ppl      nan
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  7.13 | loss   nan | ppl      nan
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.85 | loss   nan | ppl      nan
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.41 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 109.04s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.62 | loss   nan | ppl      nan
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.84 | loss   nan | ppl      nan
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.80 | loss   nan | ppl      nan
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.56 | loss   nan | ppl      nan
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.75 | loss   nan | ppl      nan
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  6.64 | loss   nan | ppl      nan
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  6.72 | loss   nan | ppl      nan
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  7.11 | loss   nan | ppl      nan
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  7.54 | loss   nan | ppl      nan
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  6.63 | loss   nan | ppl      nan
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  7.13 | loss   nan | ppl      nan
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.32 | loss   nan | ppl      nan
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  6.89 | loss   nan | ppl      nan
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  6.96 | loss   nan | ppl      nan
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.38 | loss   nan | ppl      nan
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  6.65 | loss   nan | ppl      nan
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  6.93 | loss   nan | ppl      nan
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  7.00 | loss   nan | ppl      nan
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  6.77 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 109.56s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  7.91 | loss   nan | ppl      nan
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  6.71 | loss   nan | ppl      nan
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  7.57 | loss   nan | ppl      nan
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  7.00 | loss   nan | ppl      nan
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  7.59 | loss   nan | ppl      nan
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  7.73 | loss   nan | ppl      nan
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  7.84 | loss   nan | ppl      nan
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  7.89 | loss   nan | ppl      nan
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  6.87 | loss   nan | ppl      nan
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  7.27 | loss   nan | ppl      nan
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch  7.46 | loss   nan | ppl      nan
| epoch   3 |  6500/15983 batches | lr 5.00 | ms/batch  6.72 | loss   nan | ppl      nan
| epoch   3 |  7000/15983 batches | lr 5.00 | ms/batch  6.72 | loss   nan | ppl      nan
| epoch   3 |  7500/15983 batches | lr 5.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   3 |  8000/15983 batches | lr 5.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   3 |  8500/15983 batches | lr 5.00 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   3 |  9000/15983 batches | lr 5.00 | ms/batch  6.47 | loss   nan | ppl      nan
| epoch   3 |  9500/15983 batches | lr 5.00 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   3 | 10000/15983 batches | lr 5.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   3 | 10500/15983 batches | lr 5.00 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   3 | 11000/15983 batches | lr 5.00 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   3 | 11500/15983 batches | lr 5.00 | ms/batch  6.46 | loss   nan | ppl      nan
| epoch   3 | 12000/15983 batches | lr 5.00 | ms/batch  6.60 | loss   nan | ppl      nan
| epoch   3 | 12500/15983 batches | lr 5.00 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   3 | 13000/15983 batches | lr 5.00 | ms/batch  6.90 | loss   nan | ppl      nan
| epoch   3 | 13500/15983 batches | lr 5.00 | ms/batch  7.25 | loss   nan | ppl      nan
