Vocabulary Size:  27710
Total number of model parameters: 11.19M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  2.95 | loss 14.33 | ppl 1667524.79
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.45 | ppl 1889565.27
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.45 | ppl 1890499.17
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.45 | loss 14.51 | ppl 2004758.61
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.30 | ppl 1627045.89
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.32 | ppl 1658495.52
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.24 | ppl 1527159.40
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.43 | ppl 1854725.94
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.45 | ppl 1888674.58
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.40 | ppl 1791595.07
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.14 | ppl 1389746.52
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.03 | ppl 1238681.01
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.50 | ppl 1985592.88
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.65 | ppl 2303462.08
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.50 | ppl 1979937.32
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.53 | ppl 2036165.64
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.61 | ppl 2224308.25
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.39 | ppl 1774222.02
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.40 | loss 14.27 | ppl 1575711.58
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.40 | ppl 1790577.24
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.40 | loss 14.19 | ppl 1454093.51
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.79 | ppl 2638784.59
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.62 | ppl 2228846.69
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.03 | ppl 1243295.73
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.76 | ppl 2576661.14
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  2.36 | loss 14.64 | ppl 2275687.11
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.05 | ppl 1260859.20
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.30 | ppl 1629906.56
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.10 | ppl 1329289.71
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.53 | ppl 2045924.14
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.18 | ppl 1434191.49
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 38.51s | valid loss 11.97 | valid ppl 158057.94
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  2.40 | loss 14.36 | ppl 1717372.70
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.20 | ppl 1475167.23
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.48 | ppl 1943556.51
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.35 | ppl 1698405.19
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.48 | ppl 1948842.07
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.47 | ppl 1922839.29
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.73 | ppl 2486227.62
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.16 | ppl 1409257.36
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.33 | ppl 1671761.86
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.86 | ppl 2831859.61
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.32 | ppl 1652359.44
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.14 | ppl 1377651.65
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.59 | ppl 2176439.62
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.25 | ppl 1548794.73
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.66 | ppl 2325263.59
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.77 | ppl 2588425.60
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.62 | ppl 2234591.44
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.22 | ppl 1498801.69
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.39 | ppl 1777312.91
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.27 | ppl 1581241.96
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.19 | ppl 1456701.28
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.49 | ppl 1967258.04
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.45 | ppl 1881195.35
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  2.39 | loss 14.25 | ppl 1542441.95
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.43 | ppl 1846832.67
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.54 | ppl 2056370.52
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.33 | ppl 1666119.82
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  2.40 | loss 14.24 | ppl 1528710.95
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.47 | ppl 1929224.25
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  2.37 | loss 14.11 | ppl 1339437.13
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  2.38 | loss 14.05 | ppl 1265192.42
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 38.30s | valid loss 12.88 | valid ppl 394326.27
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.69 | ppl  2191.49
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.63 | ppl  2057.18
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.67 | ppl  2148.18
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.58 | ppl  1967.63
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.56 | ppl  1924.33
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.64 | ppl  2076.70
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  2.40 | loss  7.55 | ppl  1895.51
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.64 | ppl  2084.99
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  2.40 | loss  7.61 | ppl  2021.43
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.66 | ppl  2132.03
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.60 | ppl  2000.77
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.57 | ppl  1944.50
| epoch   3 |  6500/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.60 | ppl  2001.61
| epoch   3 |  7000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.61 | ppl  2009.19
| epoch   3 |  7500/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.63 | ppl  2068.20
| epoch   3 |  8000/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.66 | ppl  2123.46
| epoch   3 |  8500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.59 | ppl  1974.64
| epoch   3 |  9000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.55 | ppl  1891.31
| epoch   3 |  9500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.61 | ppl  2019.93
| epoch   3 | 10000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.52 | ppl  1850.23
| epoch   3 | 10500/15983 batches | lr 5.00 | ms/batch  2.41 | loss  7.61 | ppl  2011.16
| epoch   3 | 11000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.60 | ppl  1992.73
| epoch   3 | 11500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.59 | ppl  1976.00
| epoch   3 | 12000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.50 | ppl  1808.30
| epoch   3 | 12500/15983 batches | lr 5.00 | ms/batch  2.40 | loss  7.53 | ppl  1871.34
| epoch   3 | 13000/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.56 | ppl  1923.56
| epoch   3 | 13500/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.59 | ppl  1980.18
| epoch   3 | 14000/15983 batches | lr 5.00 | ms/batch  2.41 | loss  7.54 | ppl  1886.63
| epoch   3 | 14500/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.52 | ppl  1843.79
| epoch   3 | 15000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.57 | ppl  1932.09
| epoch   3 | 15500/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.54 | ppl  1876.63
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 38.24s | valid loss  7.04 | valid ppl  1141.01
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.63 | ppl  2063.90
| epoch   4 |  1000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.60 | ppl  2004.36
| epoch   4 |  1500/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.58 | ppl  1955.62
| epoch   4 |  2000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.57 | ppl  1938.84
| epoch   4 |  2500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.55 | ppl  1906.53
| epoch   4 |  3000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.60 | ppl  2005.02
| epoch   4 |  3500/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.65 | ppl  2105.66
| epoch   4 |  4000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.58 | ppl  1950.93
| epoch   4 |  4500/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.62 | ppl  2040.67
| epoch   4 |  5000/15983 batches | lr 5.00 | ms/batch  2.39 | loss  7.62 | ppl  2033.22
| epoch   4 |  5500/15983 batches | lr 5.00 | ms/batch  2.41 | loss  7.58 | ppl  1953.48
| epoch   4 |  6000/15983 batches | lr 5.00 | ms/batch  2.41 | loss  7.61 | ppl  2021.99
| epoch   4 |  6500/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.63 | ppl  2054.83
| epoch   4 |  7000/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.65 | ppl  2096.64
| epoch   4 |  7500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.62 | ppl  2034.95
| epoch   4 |  8000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.66 | ppl  2126.84
| epoch   4 |  8500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.56 | ppl  1914.43
| epoch   4 |  9000/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.56 | ppl  1920.21
| epoch   4 |  9500/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.57 | ppl  1939.85
| epoch   4 | 10000/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.55 | ppl  1892.94
| epoch   4 | 10500/15983 batches | lr 5.00 | ms/batch  2.36 | loss  7.61 | ppl  2027.94
| epoch   4 | 11000/15983 batches | lr 5.00 | ms/batch  2.37 | loss  7.59 | ppl  1987.53
| epoch   4 | 11500/15983 batches | lr 5.00 | ms/batch  2.38 | loss  7.59 | ppl  1978.65
