Vocabulary Size:  27710
Total number of model parameters: 11.60M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.50 | loss  9.11 | ppl  9020.84
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.60 | loss  8.43 | ppl  4562.01
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.61 | loss  8.41 | ppl  4473.12
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.56 | loss  7.86 | ppl  2584.01
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.61 | loss  7.61 | ppl  2014.85
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.61 | loss  7.48 | ppl  1776.19
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.47 | ppl  1747.28
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.65 | loss  7.40 | ppl  1636.09
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.33 | ppl  1523.32
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.63 | loss  7.37 | ppl  1584.87
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.40 | ppl  1639.31
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.36 | ppl  1571.55
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.58 | loss  7.35 | ppl  1555.98
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.37 | ppl  1590.38
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.40 | ppl  1634.72
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.44 | ppl  1699.35
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.25 | ppl  1412.46
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.26 | ppl  1415.19
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.61 | loss  7.28 | ppl  1453.72
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.62 | loss  7.24 | ppl  1401.02
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.29 | ppl  1462.78
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.57 | loss  7.27 | ppl  1441.40
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.56 | loss  7.28 | ppl  1454.06
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.57 | loss  7.26 | ppl  1424.84
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.62 | loss  7.30 | ppl  1483.75
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.21 | ppl  1346.27
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.61 | loss  7.25 | ppl  1402.58
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.55 | loss  7.25 | ppl  1415.03
