Vocabulary Size:  27710
Total number of model parameters: 12.08M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  8.49 | loss  9.40 | ppl 12143.69
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.82 | loss  8.43 | ppl  4563.47
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.79 | loss  8.35 | ppl  4237.41
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.80 | loss  8.18 | ppl  3564.66
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.78 | loss  8.13 | ppl  3379.82
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.79 | loss  8.06 | ppl  3167.62
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.76 | loss  7.83 | ppl  2505.21
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.80 | loss  7.48 | ppl  1769.80
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.78 | loss  7.48 | ppl  1772.31
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.80 | loss  7.56 | ppl  1910.93
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.82 | loss  7.44 | ppl  1703.31
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.43 | ppl  1683.89
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.40 | ppl  1630.87
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.87 | loss  7.45 | ppl  1726.10
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.81 | loss  7.37 | ppl  1580.67
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.91 | loss  7.45 | ppl  1723.23
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.10 | loss  7.35 | ppl  1556.51
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.89 | loss  7.35 | ppl  1552.06
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.39 | ppl  1615.76
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.35 | ppl  1553.75
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.30 | ppl  1481.54
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.71 | loss  7.33 | ppl  1532.72
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.35 | ppl  1557.66
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.71 | loss  7.29 | ppl  1464.37
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.31 | ppl  1493.84
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.66 | loss  7.32 | ppl  1515.18
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.32 | ppl  1512.40
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.36 | ppl  1573.24
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.31 | ppl  1502.18
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.28 | ppl  1451.48
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.25 | ppl  1409.13
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 94.20s | valid loss  8.60 | valid ppl  5434.37
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.77 | loss  7.38 | ppl  1611.60
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.79 | loss  7.34 | ppl  1545.94
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.78 | loss  7.35 | ppl  1554.07
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.37 | ppl  1584.71
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.72 | loss  7.31 | ppl  1497.07
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.33 | ppl  1532.35
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.29 | ppl  1459.86
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.34 | ppl  1547.83
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.72 | loss  7.42 | ppl  1665.08
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.73 | loss  7.38 | ppl  1605.29
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.32 | ppl  1508.78
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.39 | ppl  1617.33
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.29 | ppl  1465.84
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.67 | loss  7.40 | ppl  1641.35
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.71 | loss  7.35 | ppl  1551.16
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.45 | ppl  1713.05
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.35 | ppl  1555.28
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.68 | loss  7.33 | ppl  1530.38
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.80 | loss  7.30 | ppl  1487.49
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.87 | loss  7.28 | ppl  1447.48
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.70 | loss  7.34 | ppl  1541.41
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.31 | ppl  1494.96
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.32 | ppl  1503.45
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.75 | loss  7.24 | ppl  1392.28
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.69 | loss  7.32 | ppl  1505.21
