Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 10.11 | loss  9.65 | ppl 15454.70
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.80 | loss  8.47 | ppl  4774.87
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.83 | loss  8.33 | ppl  4152.91
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.80 | loss  8.22 | ppl  3710.72
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.77 | loss  8.03 | ppl  3085.95
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.77 | loss  8.19 | ppl  3607.85
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.72 | loss  8.36 | ppl  4271.19
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.72 | loss  7.82 | ppl  2493.71
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.69 | loss  7.74 | ppl  2289.93
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.83 | ppl  2508.04
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.69 | ppl  2187.23
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.84 | loss  7.77 | ppl  2372.94
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.70 | ppl  2217.51
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.70 | ppl  2212.00
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.87 | ppl  2614.74
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.79 | ppl  2422.13
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.84 | loss  7.68 | ppl  2168.31
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.70 | ppl  2214.36
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.77 | loss  8.20 | ppl  3658.19
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.85 | ppl  2570.04
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.77 | loss  7.70 | ppl  2217.62
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.97 | ppl  2900.77
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.69 | loss  8.40 | ppl  4440.50
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.73 | loss  8.03 | ppl  3072.22
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.74 | loss  7.42 | ppl  1664.80
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.79 | loss  7.35 | ppl  1554.98
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.77 | loss  7.25 | ppl  1404.48
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.34 | ppl  1541.07
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.25 | ppl  1409.76
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.22 | ppl  1370.17
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.68 | loss  7.24 | ppl  1395.91
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 125.70s | valid loss  7.07 | valid ppl  1180.33
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.77 | loss  7.33 | ppl  1521.43
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  7.72 | loss  7.37 | ppl  1583.59
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.30 | ppl  1482.27
