Vocabulary Size:  27710
Total number of model parameters: 5.81M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 10.74 | loss  9.07 | ppl  8696.63
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.88 | loss  8.42 | ppl  4550.53
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.59 | loss  8.25 | ppl  3827.20
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  8.16 | ppl  3497.94
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  8.06 | ppl  3174.39
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.69 | loss  8.32 | ppl  4091.62
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.55 | loss  7.86 | ppl  2599.74
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.80 | ppl  2447.17
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.79 | ppl  2420.60
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.81 | ppl  2466.33
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.86 | loss  7.58 | ppl  1957.63
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  8.63 | loss  7.56 | ppl  1911.13
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  8.36 | loss  7.43 | ppl  1681.93
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.96 | loss  7.47 | ppl  1756.22
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.40 | ppl  1643.52
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.46 | ppl  1741.58
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.57 | loss  7.36 | ppl  1567.68
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.37 | ppl  1586.74
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.57 | loss  7.37 | ppl  1584.27
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.27 | ppl  1442.40
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.61 | loss  7.34 | ppl  1538.07
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.83 | loss  7.35 | ppl  1553.37
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.68 | loss  7.35 | ppl  1561.54
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.29 | ppl  1463.66
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.34 | ppl  1539.07
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.40 | ppl  1635.71
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.31 | ppl  1495.36
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  8.05 | loss  7.33 | ppl  1520.61
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  8.05 | loss  7.24 | ppl  1395.62
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  7.78 | loss  7.32 | ppl  1505.58
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.87 | loss  7.28 | ppl  1457.53
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 125.98s | valid loss  6.88 | valid ppl   970.01
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.95 | loss  7.40 | ppl  1630.20
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  7.62 | loss  7.35 | ppl  1559.79
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.52 | loss  7.34 | ppl  1541.92
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  7.74 | loss  7.40 | ppl  1629.60
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.28 | ppl  1451.58
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  8.17 | loss  7.41 | ppl  1651.23
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.29 | ppl  1458.60
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.40 | ppl  1641.55
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.42 | ppl  1669.63
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  7.92 | loss  7.40 | ppl  1628.84
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  8.33 | loss  7.39 | ppl  1619.19
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  8.13 | loss  7.39 | ppl  1622.07
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  7.55 | loss  7.32 | ppl  1511.51
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.42 | ppl  1675.73
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.33 | ppl  1529.43
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.43 | ppl  1682.06
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.33 | ppl  1522.58
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  7.39 | loss  7.26 | ppl  1422.63
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.35 | ppl  1552.42
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.25 | ppl  1405.01
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  7.61 | loss  7.30 | ppl  1477.77
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.29 | ppl  1461.77
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.34 | ppl  1541.45
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.27 | ppl  1443.56
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.26 | ppl  1424.17
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.34 | ppl  1540.84
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.32 | ppl  1509.15
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  7.39 | loss  7.33 | ppl  1532.44
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.27 | ppl  1438.66
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.30 | ppl  1487.65
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.29 | ppl  1461.19
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 124.74s | valid loss  7.39 | valid ppl  1613.02
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  7.56 | loss  6.58 | ppl   723.23
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  7.57 | loss  6.59 | ppl   728.92
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.63 | ppl   754.37
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  7.93 | loss  6.55 | ppl   696.60
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  7.62 | loss  6.48 | ppl   655.16
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  7.66 | loss  6.57 | ppl   710.53
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  7.63 | loss  6.58 | ppl   721.41
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  7.55 | loss  6.62 | ppl   747.85
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  7.58 | loss  6.63 | ppl   755.92
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  7.46 | loss  6.63 | ppl   759.37
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  7.60 | loss  6.60 | ppl   736.18
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch  7.60 | loss  6.61 | ppl   740.82
| epoch   3 |  6500/15983 batches | lr 5.00 | ms/batch  7.60 | loss  6.56 | ppl   708.53
| epoch   3 |  7000/15983 batches | lr 5.00 | ms/batch  7.57 | loss  6.59 | ppl   725.49
| epoch   3 |  7500/15983 batches | lr 5.00 | ms/batch  7.54 | loss  6.56 | ppl   709.40
| epoch   3 |  8000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.61 | ppl   745.55
| epoch   3 |  8500/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.56 | ppl   708.26
| epoch   3 |  9000/15983 batches | lr 5.00 | ms/batch  7.70 | loss  6.53 | ppl   683.68
| epoch   3 |  9500/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.55 | ppl   698.87
| epoch   3 | 10000/15983 batches | lr 5.00 | ms/batch  7.97 | loss  6.57 | ppl   710.51
| epoch   3 | 10500/15983 batches | lr 5.00 | ms/batch  8.30 | loss  6.58 | ppl   717.83
| epoch   3 | 11000/15983 batches | lr 5.00 | ms/batch  8.09 | loss  6.56 | ppl   705.61
| epoch   3 | 11500/15983 batches | lr 5.00 | ms/batch  7.76 | loss  6.56 | ppl   704.63
| epoch   3 | 12000/15983 batches | lr 5.00 | ms/batch  8.13 | loss  6.53 | ppl   684.12
| epoch   3 | 12500/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.50 | ppl   667.27
| epoch   3 | 13000/15983 batches | lr 5.00 | ms/batch  8.06 | loss  6.54 | ppl   691.15
| epoch   3 | 13500/15983 batches | lr 5.00 | ms/batch  7.53 | loss  6.56 | ppl   709.45
| epoch   3 | 14000/15983 batches | lr 5.00 | ms/batch  7.50 | loss  6.58 | ppl   723.73
| epoch   3 | 14500/15983 batches | lr 5.00 | ms/batch  7.54 | loss  6.49 | ppl   661.28
| epoch   3 | 15000/15983 batches | lr 5.00 | ms/batch  7.58 | loss  6.48 | ppl   652.11
| epoch   3 | 15500/15983 batches | lr 5.00 | ms/batch  7.48 | loss  6.51 | ppl   673.39
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 124.07s | valid loss  6.61 | valid ppl   739.72
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 5.00 | ms/batch  7.48 | loss  6.57 | ppl   710.36
| epoch   4 |  1000/15983 batches | lr 5.00 | ms/batch  7.45 | loss  6.58 | ppl   718.52
| epoch   4 |  1500/15983 batches | lr 5.00 | ms/batch  7.60 | loss  6.61 | ppl   742.17
| epoch   4 |  2000/15983 batches | lr 5.00 | ms/batch  7.49 | loss  6.53 | ppl   688.44
| epoch   4 |  2500/15983 batches | lr 5.00 | ms/batch  7.46 | loss  6.48 | ppl   649.25
| epoch   4 |  3000/15983 batches | lr 5.00 | ms/batch  7.52 | loss  6.56 | ppl   702.92
| epoch   4 |  3500/15983 batches | lr 5.00 | ms/batch  7.44 | loss  6.57 | ppl   713.54
| epoch   4 |  4000/15983 batches | lr 5.00 | ms/batch  7.61 | loss  6.60 | ppl   734.71
| epoch   4 |  4500/15983 batches | lr 5.00 | ms/batch  7.51 | loss  6.61 | ppl   745.50
| epoch   4 |  5000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.62 | ppl   748.08
| epoch   4 |  5500/15983 batches | lr 5.00 | ms/batch  7.63 | loss  6.59 | ppl   725.41
| epoch   4 |  6000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.59 | ppl   730.17
| epoch   4 |  6500/15983 batches | lr 5.00 | ms/batch  7.56 | loss  6.55 | ppl   700.28
| epoch   4 |  7000/15983 batches | lr 5.00 | ms/batch  7.53 | loss  6.57 | ppl   714.92
| epoch   4 |  7500/15983 batches | lr 5.00 | ms/batch  7.54 | loss  6.55 | ppl   701.05
| epoch   4 |  8000/15983 batches | lr 5.00 | ms/batch  7.52 | loss  6.60 | ppl   736.31
| epoch   4 |  8500/15983 batches | lr 5.00 | ms/batch  7.59 | loss  6.55 | ppl   697.39
| epoch   4 |  9000/15983 batches | lr 5.00 | ms/batch  7.58 | loss  6.51 | ppl   675.02
| epoch   4 |  9500/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.54 | ppl   691.75
| epoch   4 | 10000/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.56 | ppl   703.03
| epoch   4 | 10500/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.57 | ppl   710.24
| epoch   4 | 11000/15983 batches | lr 5.00 | ms/batch  7.58 | loss  6.54 | ppl   695.56
| epoch   4 | 11500/15983 batches | lr 5.00 | ms/batch  7.52 | loss  6.55 | ppl   696.27
| epoch   4 | 12000/15983 batches | lr 5.00 | ms/batch  7.59 | loss  6.52 | ppl   676.56
| epoch   4 | 12500/15983 batches | lr 5.00 | ms/batch  7.56 | loss  6.49 | ppl   660.57
| epoch   4 | 13000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.53 | ppl   683.02
| epoch   4 | 13500/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.55 | ppl   700.46
| epoch   4 | 14000/15983 batches | lr 5.00 | ms/batch  7.56 | loss  6.57 | ppl   714.87
| epoch   4 | 14500/15983 batches | lr 5.00 | ms/batch  7.81 | loss  6.49 | ppl   655.68
| epoch   4 | 15000/15983 batches | lr 5.00 | ms/batch  8.17 | loss  6.47 | ppl   645.90
| epoch   4 | 15500/15983 batches | lr 5.00 | ms/batch  7.55 | loss  6.50 | ppl   665.22
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 122.79s | valid loss  6.62 | valid ppl   752.06
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 1.25 | ms/batch  7.99 | loss  6.55 | ppl   699.42
| epoch   5 |  1000/15983 batches | lr 1.25 | ms/batch  8.01 | loss  6.56 | ppl   707.60
| epoch   5 |  1500/15983 batches | lr 1.25 | ms/batch  7.66 | loss  6.59 | ppl   727.67
| epoch   5 |  2000/15983 batches | lr 1.25 | ms/batch  7.54 | loss  6.52 | ppl   677.01
| epoch   5 |  2500/15983 batches | lr 1.25 | ms/batch  7.58 | loss  6.47 | ppl   642.40
| epoch   5 |  3000/15983 batches | lr 1.25 | ms/batch  7.78 | loss  6.54 | ppl   693.85
| epoch   5 |  3500/15983 batches | lr 1.25 | ms/batch  8.03 | loss  6.56 | ppl   704.69
| epoch   5 |  4000/15983 batches | lr 1.25 | ms/batch  7.54 | loss  6.59 | ppl   725.81
| epoch   5 |  4500/15983 batches | lr 1.25 | ms/batch  7.55 | loss  6.60 | ppl   735.33
| epoch   5 |  5000/15983 batches | lr 1.25 | ms/batch  7.56 | loss  6.60 | ppl   736.21
| epoch   5 |  5500/15983 batches | lr 1.25 | ms/batch  7.96 | loss  6.57 | ppl   714.09
| epoch   5 |  6000/15983 batches | lr 1.25 | ms/batch  8.35 | loss  6.58 | ppl   717.25
| epoch   5 |  6500/15983 batches | lr 1.25 | ms/batch  8.39 | loss  6.54 | ppl   692.43
| epoch   5 |  7000/15983 batches | lr 1.25 | ms/batch  8.22 | loss  6.56 | ppl   704.53
| epoch   5 |  7500/15983 batches | lr 1.25 | ms/batch  8.02 | loss  6.54 | ppl   689.62
| epoch   5 |  8000/15983 batches | lr 1.25 | ms/batch  7.59 | loss  6.59 | ppl   724.85
| epoch   5 |  8500/15983 batches | lr 1.25 | ms/batch  8.29 | loss  6.53 | ppl   686.44
