Vocabulary Size:  27710
Total number of model parameters: 5.81M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 11.58 | loss  9.18 | ppl  9669.91
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.41 | loss  8.43 | ppl  4575.00
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.31 | loss  8.29 | ppl  3979.72
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.41 | loss  8.20 | ppl  3651.54
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  8.09 | ppl  3262.58
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  8.02 | ppl  3038.87
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  8.07 | loss  8.31 | ppl  4051.95
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.84 | ppl  2546.79
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  8.05 | loss  8.13 | ppl  3396.74
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  7.94 | loss  8.11 | ppl  3329.07
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.76 | loss  7.94 | ppl  2805.32
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.80 | loss  7.87 | ppl  2607.15
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  8.20 | loss  7.52 | ppl  1838.96
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.53 | ppl  1856.50
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  8.20 | loss  7.47 | ppl  1760.55
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.87 | loss  7.46 | ppl  1734.35
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  8.10 | loss  7.40 | ppl  1630.05
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.35 | loss  7.34 | ppl  1541.47
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.32 | loss  7.37 | ppl  1588.85
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.39 | loss  7.35 | ppl  1554.37
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.34 | loss  7.30 | ppl  1480.39
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  7.36 | loss  7.34 | ppl  1533.48
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.35 | ppl  1551.39
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.37 | ppl  1591.97
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.69 | loss  7.24 | ppl  1394.65
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.32 | ppl  1504.09
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.34 | ppl  1535.57
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.40 | loss  7.32 | ppl  1512.96
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  8.11 | loss  7.33 | ppl  1519.10
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  8.21 | loss  7.35 | ppl  1549.24
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  8.01 | loss  7.27 | ppl  1440.06
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 125.89s | valid loss  6.80 | valid ppl   898.24
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.42 | ppl  1669.11
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  8.23 | loss  7.46 | ppl  1732.27
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.92 | loss  7.38 | ppl  1600.30
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.39 | ppl  1622.06
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.88 | loss  7.27 | ppl  1439.91
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  7.73 | loss  7.36 | ppl  1577.76
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  7.61 | loss  7.33 | ppl  1520.06
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.98 | loss  7.32 | ppl  1517.34
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  7.65 | loss  7.45 | ppl  1723.30
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.38 | ppl  1609.71
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.38 | ppl  1597.12
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  8.03 | loss  7.37 | ppl  1593.28
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  8.03 | loss  7.29 | ppl  1462.44
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.34 | ppl  1547.85
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.44 | ppl  1697.76
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.36 | ppl  1577.88
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  7.43 | loss  7.38 | ppl  1598.98
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.32 | ppl  1510.99
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  7.87 | loss  7.30 | ppl  1484.35
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  8.56 | loss  7.30 | ppl  1480.00
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  8.21 | loss  7.33 | ppl  1524.48
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.35 | ppl  1549.80
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.40 | ppl  1637.82
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.41 | loss  7.27 | ppl  1439.06
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.87 | loss  7.33 | ppl  1529.40
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.81 | loss  7.28 | ppl  1452.29
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.74 | loss  7.34 | ppl  1544.95
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  8.21 | loss  7.35 | ppl  1559.62
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  7.86 | loss  7.24 | ppl  1396.92
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  7.51 | loss  7.30 | ppl  1479.64
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.29 | ppl  1464.31
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 125.12s | valid loss  6.79 | valid ppl   893.03
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.47 | ppl  1757.80
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  8.08 | loss  7.41 | ppl  1650.92
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  7.45 | loss  7.42 | ppl  1665.30
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  8.06 | loss  7.36 | ppl  1578.11
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  7.81 | loss  7.26 | ppl  1423.67
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  8.04 | loss  7.32 | ppl  1516.30
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.36 | ppl  1570.27
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  8.03 | loss  7.37 | ppl  1594.26
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  8.08 | loss  7.38 | ppl  1608.79
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.39 | ppl  1615.95
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  7.51 | loss  7.41 | ppl  1657.01
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.35 | ppl  1555.61
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  7.72 | loss  7.32 | ppl  1508.48
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.39 | ppl  1624.79
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  7.40 | loss  7.35 | ppl  1558.79
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  7.69 | loss  7.38 | ppl  1609.21
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.32 | ppl  1502.83
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  7.58 | loss  7.28 | ppl  1453.60
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.34 | ppl  1542.61
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.34 | ppl  1533.11
